Date Created,Project Name,Current Status,NCR Number,RMA Number (IF Applicable) ,Part Name,Serial Number,Contractor's PN,Description of Defect,Supplier/Vendor Name,Updates,Supplier/Vendor Contact Information,QTY,Inspector,Engineer Assigned to:,Disposition,Disposition Notes,Location of Unit,Last Updated
2024-12-18T16:50:08Z,,Complete,NCR - 00051,,TOD,TSCE51014359,103001018.0,Touchscreen doesn't work.,Nexcom,"12/18/2024: Will send back to Vendor for exchange.
2/24/2025: TOD received from NEXCOM. 
2/25/2025: Tested, no issues found. Returned to inventory. NCR closed.","Yvette Tu, Direct: (510) 830-4677
Cell: (510) 676-4599",1.0,Michael Cho <mcho@woojinisa.com>,Vong,Return to Vendor,12/18/2024: Will send back to Vendor for exchange.,WISA Inventory,2025-09-12T23:40:56Z
2025-01-13T16:23:24Z,Sound Transit,Complete,NCR - 00053,NA,Ethernet Coupler Adapter (ECA),1613.0,3635-3000,Damaged Power Pins,Westermo,"The physical part was handed to the engineers (Daniel Booth) from Westermo while on visit at WISA office.
6/16/2025: added NCR file to attachments.
7/14/25: ECA returned and repaired from WESTERMO","daniel.rooth@westermo.com, 1-(331)-276-7993 ",1.0,Vong Tran,Vong,"Return to Vendor, Repair","The physical part was handed to the engineers (Daniel Booth) from Westermo while on visit at WISA office.
6/16/2025: Not sure on the status of the part, added NCR file to attachments.",WISA Inventory,2025-07-14T23:31:36Z
2025-01-14T23:28:48Z,Sound Transit,In Progress,NCR - 00054,NA,TOD,TSCE51014353,vROK3030-WJ,Touch panel not functioning,Nexcom,"Item is currently at WISK. Waiting for item to be returned to WISA then will be shipped to Nexcom for repair.
6/17/25: added NCR form to attachments","Yvette Tu, Direct: (510) 830-4677 | Cell: (510) 676-4599, yvettet@nexcom.com",1.0,Vong Tran,Abi & Vong,"Return to Vendor, Repair","Item is currently at WISK. Waiting for item to be returned to WISA then will be shipped to Nexcom for repair.
6/17/25: added NCR form to attachments. Not sure what the status of the part is.",Returned to Customer,2025-08-18T16:17:08Z
2025-01-16T16:21:34Z,Sound Transit,In Progress,NCR - 00055,NA,TOD,TSCE51014357,vROK3030-WJ,The buzzer and the light sensor are not functioning.,Nexcom,"This item is currently at WISK. WISK needs to ship the item back to WISA for it to be shipped to the Vendor.
6/17/25: Added NCR form to attachments","Yvette Tu, Direct: (510) 830-4677 | Cell: (510) 676-4599, yvettet@nexcom.com",1.0,Vong Tran,Vong,"Return to Vendor, Repair","This item is currently at WISK. WISK needs to ship the item back to WISA for it to be shipped to the Vendor.
6/17/25: Added NCR form to attachments. Not sure on status.",Other Area,2025-07-14T23:46:51Z
2025-01-20T22:25:35Z,DTO,"Shipped to WISK, At WISK",NCR - 00056,25011501.0,LCD-PID,13025.0,R1D1355-0595,Power board is out. Not working,WISK,"Besides the initial issue with the power board not working, upon visual inspection, there are multiple scratches on the LCD screen.
6/17/25: added NCR form to attachments.
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,"Return to Vendor, Repair","Besides the initial issue with the power board not working, upon visual inspection, there are multiple scratches on the LCD screen.
6/17/25: added NCR form to attachments. Need to figure out what the status is",WISK,2025-09-09T22:53:31Z
2025-01-27T17:51:04Z,Sound Transit,"Shipped to WISK, At WISK",NCR - 00057,NA,PAC-INT BOARD,20008.0,R1D000270,Do not receive audio from SCC/OCC,WISK,"Item received at WISK on March 4 for repair. Item received at WISK on March 4 for repair.
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,Item received at WISK on March 4 for repair.,WISK,2025-09-09T22:53:31Z
2025-01-27T18:12:31Z,,Complete,NCR - 00058,NA,TOD,TSCE11001278,vROK3030-WJ,Could not uninstall the old TOD firmware,Nexcom,"2/3/25: Production team will try to repair at WISA.
2/3/25: 2:08pm, Justin was able to uninstall software. Returned TOD to inventory.","Yvette Tu, Direct: (510) 830-4677 | Cell: (510) 676-4599, yvettet@nexcom.com",1.0,Sherry and Rich,Vong Tran <vtran@woojinisa.com>,Repair,"I couldn't uninstalled the old software for TOD
2/3/25: Justin was able to uninstall software.",WISA Inventory,2025-08-18T17:49:59Z
2025-01-30T18:49:43Z,DTO,"Shipped to WISK, At WISK",NCR - 00059,24082305.0,VOIP BOARD,12016.0,R1D000300,Not communicating,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T22:54:30Z
2025-01-30T18:53:12Z,DTO,"Shipped to WISK, At WISK",NCR - 00060,24082306.0,VIDEO RX BOARD (PID-RXB),13022.0,R1D000338,PID Flickers,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T22:55:03Z
2025-01-30T19:01:54Z,DTO,"Shipped to WISK, At WISK",NCR - 00061,24082307.0,VIDEO RX BOARD (PID-RXB),12040.0,R1D000338,NOT COMMUNICATING TO PID SCREEN.,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T22:59:01Z
2025-01-30T19:28:59Z,DTO,"Shipped to WISK, At WISK",NCR - 00062,24082308.0,VIDEO RX BOARD (PID-RXB),DV20002,R1D000338,NOT COMMUNICATING.,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T23:00:43Z
2025-01-30T19:30:50Z,DTO,"Shipped to WISK, At WISK",NCR - 00063,24082309.0,PAC-INT BOARD,13033.0,R1D000270,R8 LIGHT NOT ON AND POWER WAS WEAK.,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T23:02:28Z
2025-01-30T19:32:44Z,DTO,"Shipped to WISK, At WISK",NCR - 00064,24082310.0,PAC-INT BOARD,15702.0,R1D000270,NO VIDEO OR AUDIO FEED.,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD
9/9/2025: Waiting on update on WQMS. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-09-09T23:00:43Z
2025-01-30T19:34:40Z,DTO,"Shipped to WISK, At WISK",NCR - 00065,24082311.0,VIDEO TX BOARD,14003.0,R1D000304,CDT COMM FAULT,WISK,"6/20/2025: Added NCR form to attachments
8/18/25: Currently being tested at WISK. Waiting for WISK to finish repairing. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Rich,Vong,Repair,,WISK,2025-08-18T16:23:07Z
2025-02-12T22:08:40Z,Sound Transit,Complete,NCR - 00066,NA,DSSDS,24004.0,R1C011399_G01,Visible scratches discovered on the Cover ASS'Y (R1C011399_G01) when removed from the shipping packaging.,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,"Scratches on the items are being put to the side for paint touch up, need paint specification and further work instructions from WISK",Other Area,2025-08-20T21:20:42Z
2025-02-12T22:39:38Z,Sound Transit,Complete,NCR - 00067,NA,RNS,24004.0,R1C011312,Visible scratches were discovered on the BOX ASS'Y(R1C011432_G01) and COVER ASS'Y(R1C011439_G01) when the items were removed from their shipping packaging,WISK,"6/20/2025: Added NCR form to attachments
8/20/2025: This part got touched up in WISA by SHIN. NCR complete. -BD","yupki2511@wjis.co.kr, 82-43-820-4242",1.0,Richard,Vong,Repair,Item has been put to the side for paint touch up. Require paint specifications and further work instructions from WISK.,Other Area,2025-08-20T21:24:04Z
